31.2144862537,30.7696825794,30.6884437521,30.6691032597,30.6710184915,30.5926729556,30.2728900601
31.320765927,31.0430419918,30.8797466209,30.6827861631,30.7509013851,30.6754828779,30.459350052
31.3683005304,31.1209050635,30.8860008975,30.7146023857,30.754713493,30.683692205,30.4831635928
31.4033908964,31.1410440159,30.9046928517,30.7441968389,30.7604752708,30.744476611,30.4950196339
31.4638738174,31.1791686445,30.9156738159,30.7954569679,30.79095753,30.7558331565,30.5866445984
31.5066278983,31.1918486888,30.9692203314,30.8054217282,30.8285358704,30.809472551,30.6045782095
31.5143593058,31.2030321699,30.979536298,30.8103998275,30.8285601687,30.8215226952,30.6262231435
31.5339918644,31.3074255652,30.9851588656,30.8498631744,30.842383877,30.8478815386,30.6457586658
31.6123998348,31.3217517587,30.9949477807,30.8499313089,30.8805540522,30.8598047514,30.6537020164
31.6366793854,31.3459253892,31.003212251,30.8639450917,30.889744569,30.8640191239,30.6741702515
31.6757085167,31.3756142511,,30.9057627081,30.9241793485,30.887786752,30.6945699368
31.6773760319,31.3888853496,,30.9283205872,30.9288870894,30.9007747817,30.7012615814
31.6932592701,31.4365471564,,30.9629212282,30.937589336,30.9124071766,30.7066472711
31.7065872572,31.4686161913,,,30.9543964064,30.9180036424,30.7070574611
31.7329104178,31.4755051071,,,30.9691636512,30.9234912227,30.7078306814
31.7512521806,,,,30.9729268079,30.9303139698,30.710175412
31.788394525,,,,,,30.7152053552
31.8238208359,,,,,,30.7219370481
,,,,,,30.7533711411
,,,,,,30.7601733275
,,,,,,30.7623670146
,,,,,,30.7748797312
,,,,,,30.7765373836
,,,,,,30.8179836429
,,,,,,30.8284564502
,,,,,,30.8348025816
,,,,,,30.8349289406
,,,,,,30.845563228
