42.416,42.479,42.461,42.426,42.426,42.409
42.459,42.52,42.464,42.451,42.453,42.429
42.46,42.521,42.468,42.460,42.474,42.449
42.47,42.522,42.47,42.464,42.492,42.486
42.49,42.525,42.496,42.477,42.494,42.516
42.503,42.544,42.501,42.500,42.501,42.517
42.504,42.584,42.515,42.507,42.510,42.518
42.505,42.605,42.522,42.515,42.514,42.612
42.512,,42.525,42.515,42.519,42.614
42.532,,42.528,42.522,,
42.533,,42.557,42.523,,
42.556,,42.564,42.536,,
42.598,,,42.539,,
42.6,,,42.546,,
,,,42.575,,
,,,42.603,,
