41.76,41.85,41.89,41.98,42.06,42.06,42.07
41.81,41.89,41.94,41.98,42.07,42.06,42.08
41.82,41.91,41.95,42,42.09,42.08,42.08
41.83,41.93,42.01,42,42.1,42.08,42.08
41.85,41.99,42.01,42.05,42.1,42.1,42.09
41.87,42,42.02,42.05,42.11,42.11,42.09
,42.01,42.07,42.06,,42.18,42.09
,42.11,,42.08,,42.24,42.12
,42.18,,42.09,,,
,,,42.2,,,
