95,94.82,94.2,92.9,94,94,93.6,93.5,93.37,92.2,91,90.5,88.67,88.64,86.96
95.2,94.84,94.7,93.9,94.1,94.1,93.8,93.6,93.38,92.6,91.4,90.9,89.08,88.65,86.99
95.3,94.95,94.8,94.2,94.2,94.1,94,94,93.47,92.9,91.5,91.0,89.17,88.69,86.99
95.6,94.98,95.4,94.2,94.3,94.2,94.2,94.1,93.51,,91.6,91.3,,88.82,87.19
,95.04,,95.2,94.5,,,,93.53,,91.9,,,88.83,87.31
,95.14,,95.3,,,,,93.53,,91.9,,,88.86,87.33
,95.16,,95.3,,,,,,,,,,88.88,87.38
,,,95.6,,,,,,,,,,,87.45
,,,,,,,,,,,,,,87.49
