35.352,35.348,35.314,35.366,35.433,35.220,35.467,36.653
35.38,35.391,35.348,35.458,35.463,35.505,35.472,36.745
35.43,35.41,35.487,35.475,35.486,35.536,35.521,36.755
35.436,35.425,35.516,35.479,35.533,35.543,35.537,36.812
35.44,35.428,35.531,35.524,35.603,35.607,35.553,36.896
35.442,35.641,35.574,35.607,35.612,35.711,35.572,
35.483,35.699,35.652,35.778,35.723,35.933,35.595,
35.498,36.077,35.935,36.015,35.774,,35.706,
35.507,,,,,,,
35.508,,,,,,,
35.518,,,,,,,
35.524,,,,,,,
35.529,,,,,,,
35.554,,,,,,,
35.555,,,,,,,
35.559,,,,,,,
35.57,,,,,,,
35.588,,,,,,,
35.597,,,,,,,
35.69,,,,,,,
35.798,,,,,,,
35.802,,,,,,,
35.97,,,,,,,
