96.21,95.6,95.85,95.44,93.65,94.14,92.63,90.72,90.87,90.7,90.48
96.26,95.81,95.88,95.65,94.47,94.17,92.64,90.75,90.93,90.75,90.69
96.28,95.84,95.89,95.68,94.73,94.28,92.65,90.77,90.95,90.94,90.73
96.28,95.85,95.95,95.72,94.77,94.35,92.67,90.84,90.95,91.02,90.76
96.4,95.86,95.95,95.74,94.81,94.37,92.67,90.85,90.97,,90.8
,95.86,,95.78,95.09,94.38,92.77,91.15,91.01,,90.81
,95.89,,95.82,,94.72,,,91.02,,90.81
,95.91,,95.83,,94.78,,,,,90.85
,95.92,,95.87,,94.9,,,,,
,95.93,,,,,,,,,
,95.95,,,,,,,,,
