2.057,2.066,2.047,2.052,2.0859
2.064,2.067,2.06,2.065,2.0886
2.071,2.068,2.067,2.071,2.0887
2.077,2.078,2.069,2.08,2.0901
2.081,2.079,2.073,2.083,2.0918
2.093,2.08,2.076,2.102,2.0924
2.112,2.081,2.08,2.102,2.0965
,2.083,2.081,2.118,2.0967
,2.085,2.101,2.133,2.0996
,2.087,2.102,2.139,2.0996
,2.093,2.109,2.143,2.1001
,2.094,2.115,2.156,2.1027
,2.1,,2.17,2.1029
,2.114,,2.189,2.1092
,,,2.255,2.1099
,,,,2.1124
,,,,2.1143
,,,,2.1146
,,,,2.1166
,,,,2.1348
,,,,2.1396
,,,,2.1455
